scr_id,repair_id,reference_suite,unit_tests_passed,result_category,sandbox,timeout_s
SCR_0340,RA_0682,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0341,RA_0610,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0342,RA_0403,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0343,RA_0219,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0344,RA_0611,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0345,RA_0426,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0346,RA_0727,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0347,RA_0189,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0348,RA_0461,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0349,RA_0322,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0350,RA_0116,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0351,RA_0170,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0352,RA_0196,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0353,RA_0669,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0354,RA_0765,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0355,RA_0033,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0356,RA_0681,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0357,RA_0388,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0358,RA_0340,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0359,RA_0174,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0360,RA_0003,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0361,RA_0287,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0362,RA_0360,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0363,RA_0127,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0364,RA_0778,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0365,RA_0390,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0366,RA_0788,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0367,RA_0443,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0368,RA_0051,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0369,RA_0485,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0370,RA_0382,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0371,RA_0458,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0372,RA_0332,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0373,RA_0756,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0374,RA_0032,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0375,RA_0421,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0376,RA_0641,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0377,RA_0042,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0378,RA_0036,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0379,RA_0065,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0380,RA_0264,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0381,RA_0766,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0382,RA_0621,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0383,RA_0372,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0384,RA_0344,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0385,RA_0045,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0386,RA_0765,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0387,RA_0707,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0388,RA_0283,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0389,RA_0004,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0390,RA_0774,CodeHaluEval,True,pass,ubuntu-22.04/network=none,10
SCR_0391,RA_0650,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0392,RA_0025,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0393,RA_0110,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0394,RA_0733,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0395,RA_0396,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0396,RA_0441,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0397,RA_0136,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0398,RA_0188,HumanEval+,True,pass,ubuntu-22.04/network=none,10
SCR_0399,RA_0757,MBPP,True,pass,ubuntu-22.04/network=none,10
SCR_0400,RA_0709,HumanEval+,True,pass,ubuntu-22.04/network=none,10
